Tweets Ago,Account,Date,Positive,Neutral,Negative,Compound,Text
70,CBSNews,Thu Mar 15 07:33:04 +0000 2018,0.0,0.0,1.0,0.0,"Stephen Hawking ""set the agenda"" for other scientists https://t.co/AVP8vM4rYX https://t.co/HzysfTN1PB"
71,CBSNews,Thu Mar 15 07:18:07 +0000 2018,0.0,0.0,1.0,0.0,"Italian police break up macrobiotic ""sect"" that controlled followers' diets https://t.co/DOSgDDxgPJ https://t.co/yDObB55WGn"
72,CBSNews,Thu Mar 15 07:03:03 +0000 2018,0.0,0.363,0.637,-0.6908,Police: Suspect in fatal sleepover stabbing rampage watched extremist videos https://t.co/utp7MnbYQT https://t.co/L7XEtcq0dd
73,CBSNews,Thu Mar 15 06:48:03 +0000 2018,0.0,0.259,0.741,-0.6369,Video shows U.S. marshal fatally shooting defendant who rushed witness stand https://t.co/dgfz5CZXOg https://t.co/GYdXSUtDwI
74,CBSNews,Thu Mar 15 06:33:04 +0000 2018,0.213,0.0,0.787,0.4019,Meek Mill's mom asks DA to help her son https://t.co/pON1EcjKxq https://t.co/6BzJssv3Op
75,CBSNews,Thu Mar 15 06:24:07 +0000 2018,0.0,0.0,1.0,0.0,"Toys ""R"" Us shutting U.S. stores, liquidating inventory https://t.co/Aq8vAKG1Xz https://t.co/3vHWYfbrWi"
76,CBSNews,Thu Mar 15 06:18:07 +0000 2018,0.0,0.0,1.0,0.0,Ford recalls 1.4 million cars because of steering wheel https://t.co/vheTIJ2L3R https://t.co/pfccTfevfm
77,CBSNews,Thu Mar 15 06:03:04 +0000 2018,0.0,0.324,0.676,-0.5859,School resource officer accidentally fires gun inside Virginia middle school https://t.co/zexAjtTlNx https://t.co/YCPGkRlzbZ
78,CBSNews,Thu Mar 15 05:48:04 +0000 2018,0.0,0.0,1.0,0.0,"Report: Claire Foy was paid less than male co-star on ""The Crown"" https://t.co/oov3oAiEyM https://t.co/ARJ6VcwjLb"
79,CBSNews,Thu Mar 15 05:33:06 +0000 2018,0.0,0.0,1.0,0.0,Oklahoma may be first state to use nitrogen in executions amid lethal injection controversy https://t.co/qjcnrxzbBF https://t.co/nAnmdFPqNT
80,CBSNews,Thu Mar 15 05:18:08 +0000 2018,0.412,0.0,0.588,0.6808,Increasingly popular full-face snorkel masks raise safety concerns https://t.co/HqTwtrKwHp https://t.co/ohETs0sPoI
81,CBSNews,Thu Mar 15 05:03:03 +0000 2018,0.16,0.0,0.84,0.2263,"Rand Paul calls Gina Haspel ""head cheerleader for waterboarding"" https://t.co/I7YcS59QZG https://t.co/WYWq44s2cz"
82,CBSNews,Thu Mar 15 04:48:03 +0000 2018,0.0,0.384,0.616,-0.6808,"Elizabeth Holmes, founder of Theranos, charged with ""massive"" fraud https://t.co/bTgBE4JHLr https://t.co/HOzAOYG6uY"
83,CBSNews,Thu Mar 15 04:38:06 +0000 2018,0.0,0.394,0.606,-0.7579,"2 dead, including suspect, after shooting at Birmingham hospital, authorities say https://t.co/9R3uJujm9K https://t.co/BM4XdmsXwm"
84,CBSNews,Thu Mar 15 04:33:03 +0000 2018,0.2,0.157,0.643,0.1531,United Airlines mistakenly flies Kansas-bound German shepherd to Japan https://t.co/6ivrdSyMf1 https://t.co/UNpRfFioeq
85,CBSNews,Thu Mar 15 04:18:08 +0000 2018,0.255,0.0,0.745,0.4767,Larry Kudlow accepts offer to replace Gary Cohn as top economic adviser https://t.co/pEtJEjNuIk https://t.co/vmHbDXnPk0
86,CBSNews,Thu Mar 15 04:03:04 +0000 2018,0.0,0.0,1.0,0.0,Alaska sled dogs make a run for it after ditching mushers https://t.co/0oY0nwH02O https://t.co/pXX8OaosbL
87,CBSNews,Thu Mar 15 03:56:04 +0000 2018,0.0,0.153,0.847,-0.2023,Another Trump Organization attorney linked to Stormy Daniels litigation https://t.co/hX0jyIX5o7 https://t.co/a5Rio9ybNy
88,CBSNews,Thu Mar 15 03:48:05 +0000 2018,0.0,0.348,0.652,-0.5859,Missing teenager's remains found in shallow grave in Georgia https://t.co/CVEfK5V1qc https://t.co/FcAPgEbumy
89,CBSNews,Thu Mar 15 03:47:02 +0000 2018,0.0,0.0,1.0,0.0,"""Just because I have more time to watch games doesn’t mean my picks will be better."" Former U.S. President Barack O… https://t.co/16naZOyTja"
90,CBSNews,Thu Mar 15 03:18:09 +0000 2018,0.171,0.22,0.61,-0.2023,Dog that died in United overhead bin barked for 2 hours https://t.co/LlguiWkPPA https://t.co/yJvLWvSkAB
91,CBSNews,Thu Mar 15 03:15:01 +0000 2018,0.106,0.0,0.894,0.3612,A new study in the American Academy of Neurology finds women who are physically fit may be 90 percent less likely t… https://t.co/0yH4WmiCrY
92,CBSNews,Thu Mar 15 03:03:04 +0000 2018,0.0,0.0,1.0,0.0,"""Missing"" part of man's brain turned out to be pocket of air https://t.co/0XLnMwSesl https://t.co/pVl35zSzPb"
93,CBSNews,Thu Mar 15 02:55:01 +0000 2018,0.153,0.059,0.788,0.2846,"President Trump was touting economic growth and job security in St. Louis, but back at the White House, jobs seemed… https://t.co/LJW1eVWvRC"
94,CBSNews,Thu Mar 15 02:36:01 +0000 2018,0.07,0.227,0.703,-0.6124,"FBI officials have recommended that the former No. 2 at the FBI Andrew McCabe be fired, CBS News' Paula Reid report… https://t.co/He8En0q82C"
95,CBSNews,Thu Mar 15 02:15:05 +0000 2018,0.0,0.0,1.0,0.0,"What did Omar Mateen's widow know before the Orlando nightclub shooting?
https://t.co/3ebt6jKm1B https://t.co/p7KVWpoh4c"
96,CBSNews,Thu Mar 15 02:13:28 +0000 2018,0.069,0.155,0.776,-0.4588,"UPDATE: Both aviators on fighter jet that crashed near naval base in Key West, Florida have died, according to… https://t.co/fx4pzbEI7U"
97,CBSNews,Thu Mar 15 01:55:01 +0000 2018,0.145,0.0,0.855,0.5267,"The field of ""masculinities studies"" has long had men's misdeeds as an area of focus, but it's gained newfound expo… https://t.co/JSDBRGlczQ"
98,CBSNews,Thu Mar 15 01:15:01 +0000 2018,0.0,0.121,0.879,-0.296,"As Stephen Hawking once told ""60 Minutes,"" he went scientifically where no man had gone before… https://t.co/fsE86x4oLR"
99,CBSNews,Thu Mar 15 00:56:01 +0000 2018,0.0,0.0,1.0,0.0,"Republican Rick Saccone isn't yielding the #PA18 race, even as pundits are saying it would be nearly impossible for… https://t.co/C44kboDycq"
100,CBSNews,Thu Mar 15 00:35:01 +0000 2018,0.0,0.321,0.679,-0.8176,"High school students across the nation walked out to protest gun violence Wednesday, staying out of class for at le… https://t.co/6eihGylwdA"
1,CNN,Thu Mar 15 15:20:13 +0000 2018,0.245,0.06,0.695,0.7003,"RT @CNNPolitics: President Trump ignores a question about the new Russian sanctions, but says it ""certainly looks like the Russians were be…"
2,CNN,Thu Mar 15 15:20:07 +0000 2018,0.161,0.194,0.644,-0.2091,"It's been seven years. The West should stop pretending and just accept that it doesn't care about Syria, writes… https://t.co/1GJsBOFZky"
3,CNN,Thu Mar 15 15:10:08 +0000 2018,0.0,0.101,0.899,-0.2263,"The school attended by President Trump's youngest son, Barron Trump, joined an open letter demanding the President… https://t.co/vEJz7CXJcd"
4,CNN,Thu Mar 15 15:00:22 +0000 2018,0.146,0.142,0.712,0.015,"No, Mr. President. The US doesn't have a trade deficit with Canada https://t.co/I2sy2dkEpi https://t.co/6JqmbGpamI"
5,CNN,Thu Mar 15 14:50:10 +0000 2018,0.179,0.0,0.821,0.3612,"Join CNN’s group in the #MarchMadness Bracket Challenge to see how you stack up against @JakeTapper, @ErinBurnett,… https://t.co/ntAyhet70g"
6,CNN,Thu Mar 15 14:42:19 +0000 2018,0.0,0.0,1.0,0.0,"In total, the Trump administration applied new sanctions on five entities and 19 individuals, including Russians wh… https://t.co/0f39TfiFKD"
7,CNN,Thu Mar 15 14:39:12 +0000 2018,0.0,0.0,1.0,0.0,JUST IN: Trump administration announces new sanctions on Russia for its election meddling https://t.co/D7qlbYqhM7 https://t.co/5b83HhPmkg
8,CNN,Thu Mar 15 14:20:28 +0000 2018,0.0,0.159,0.841,-0.5574,Louisiana Sen. John Kennedy is introducing a bill that would ban pets in overhead bins on airplanes: “Dogs are how… https://t.co/3jLbau8Ram
9,CNN,Thu Mar 15 14:10:09 +0000 2018,0.0,0.091,0.909,-0.2263,"The lawyer representing Stormy Daniels says that, on the heels of her lawsuit against Donald Trump, several other w… https://t.co/xSVkchGI8A"
10,CNN,Thu Mar 15 14:00:11 +0000 2018,0.0,0.295,0.705,-0.7964,A couple was killed after losing control of their SUV while trying to flee from federal immigration agents looking… https://t.co/Fcvsg1kHp8
11,CNN,Thu Mar 15 13:50:09 +0000 2018,0.0,0.0,1.0,0.0,A Jewish woman heard an undocumented immigrant and her two daughters were on the run from ICE. Driven by thoughts o… https://t.co/sshAT4J0SL
12,CNN,Thu Mar 15 13:40:09 +0000 2018,0.175,0.0,0.825,0.5267,Democrats in Washington believe they have found a winning strategy in Trump country: don't nationalize the race… https://t.co/8QHyG5ubvp
13,CNN,Thu Mar 15 13:30:11 +0000 2018,0.0,0.0,1.0,0.0,"Embattled Veterans Affairs Secretary David Shulkin is expected to be on Capitol Hill on Thursday, as President Trum… https://t.co/apecs309cC"
14,CNN,Thu Mar 15 13:25:07 +0000 2018,0.197,0.259,0.544,0.0258,Firing Trump's Cabinet is easy. Replacing them is hard. https://t.co/ovW62tp2yH https://t.co/npGavtqKh7
15,CNN,Thu Mar 15 13:17:48 +0000 2018,0.0,0.218,0.782,-0.6131,President Trump appears to threaten to withdraw US troops from South Korea if he can't get a better trade deal… https://t.co/KZquRwPUaw
16,CNN,Thu Mar 15 13:06:08 +0000 2018,0.091,0.239,0.67,-0.4767,"Just after Rex Tillerson's sudden firing, American diplomats were surprised and disturbed to receive guidance from… https://t.co/WefGRVcNg9"
17,CNN,Thu Mar 15 12:43:00 +0000 2018,0.289,0.0,0.711,0.5719,"Exclusive: Inside the US nuclear submarine challenging Russia in the Arctic, capable of launching a two-ton, 20-foo… https://t.co/crIITFZDmE"
18,CNN,Thu Mar 15 12:34:01 +0000 2018,0.0,0.0,1.0,0.0,President Trump boasted at a private fundraiser Wednesday of making up trade claims during a meeting with Canadian… https://t.co/ktyqRQH439
19,CNN,Thu Mar 15 12:27:00 +0000 2018,0.0,0.0,1.0,0.0,"US troops were involved in a firefight in Niger in December, just months after a Green Beret-led team was ambushed… https://t.co/M9i6qmI5uh"
20,CNN,Thu Mar 15 12:02:41 +0000 2018,0.231,0.0,0.769,0.5106,The US tops the charts in drug prices and doctor salaries https://t.co/4P2jVQqmq4
21,CNN,Thu Mar 15 11:55:10 +0000 2018,0.094,0.329,0.577,-0.7592,It wasn't Amazon and the growth of online shopping that killed Toys R Us. It was an unpleasant shopping experience… https://t.co/iMQns3KMrY
22,CNN,Thu Mar 15 11:44:15 +0000 2018,0.161,0.194,0.644,-0.2091,"It's been seven years. The West should stop pretending and just accept that it doesn't care about Syria, writes… https://t.co/HSSbCmr7wv"
23,CNN,Thu Mar 15 11:33:30 +0000 2018,0.128,0.0,0.872,0.4215,The United States has the shortest life expectancy and highest infant and maternal mortality rates among any of its… https://t.co/tfrWuMJNHs
24,CNN,Thu Mar 15 11:32:58 +0000 2018,0.168,0.0,0.832,0.431,"Americans spend nearly twice as much on health care as other wealthy countries, but it's not doing much to improve… https://t.co/AiflglUAL7"
25,CNN,Thu Mar 15 11:21:03 +0000 2018,0.0,0.108,0.892,-0.1779,"5 things for Thursday:

- School walkouts
- President Trump
- UK and Russia
- Niger
- Toys 'R' Us… https://t.co/VIKyWaHVyR"
26,CNN,Thu Mar 15 11:10:07 +0000 2018,0.0,0.0,1.0,0.0,"7% of astronaut Scott Kelly's genes did not return to normal after his return to Earth two years ago, according to… https://t.co/YiMw9DlXIL"
27,CNN,Thu Mar 15 11:02:14 +0000 2018,0.0,0.0,1.0,0.0,"Toys ""R"" Us is just the latest in a long line of once-beloved retailers and brands that have gone out of business… https://t.co/iuZe2Pl2sg"
28,CNN,Thu Mar 15 10:50:07 +0000 2018,0.091,0.239,0.67,-0.4767,"Just after Rex Tillerson's sudden firing, American diplomats were surprised and disturbed to receive guidance from… https://t.co/RgcGfwTfHW"
29,CNN,Thu Mar 15 10:41:07 +0000 2018,0.0,0.182,0.818,-0.4404,"The 2020 Democratic primary, as a March Madness bracket | Analysis by @GregJKrieg and @talyellin… https://t.co/tUatjukxAx"
30,CNN,Thu Mar 15 10:30:04 +0000 2018,0.0,0.336,0.664,-0.7964,The sister of Charleston church shooter Dylann Roof was arrested Wednesday on charges of bringing weapons and drugs… https://t.co/pobY24iRhJ
31,CNN,Thu Mar 15 10:19:03 +0000 2018,0.104,0.0,0.896,0.2732,North Korea hasn't said anything about Kim Jong Un meeting President Trump since he accepted the invitation a week… https://t.co/9gOUFKvJcB
32,CNN,Thu Mar 15 10:11:59 +0000 2018,0.0,0.286,0.714,-0.802,"Two people were killed in a car crash while trying to flee from federal immigration agents in California.

ICE late… https://t.co/ohrCodvtI7"
33,CNN,Thu Mar 15 09:59:03 +0000 2018,0.0,0.0,1.0,0.0,Unilever is ending nearly a century of residency in London and will use the Dutch city of Rotterdam as the location… https://t.co/COgS1vHnGo
34,CNN,Thu Mar 15 09:54:35 +0000 2018,0.064,0.173,0.763,-0.5719,"Two naval aviators have been declared dead after their FA-18 fighter jet crashed off the coast of Key West, Florida… https://t.co/DWZ74jUDWC"
35,CNN,Thu Mar 15 09:39:30 +0000 2018,0.0,0.506,0.494,-0.9607,"Rohingya women who have fled have fled rape, torture and murder in Myanmar now face sexual violence in refugee camp… https://t.co/SdbnS3r2lc"
36,CNN,Thu Mar 15 09:07:07 +0000 2018,0.072,0.162,0.766,-0.4588,"Two Navy aviators have died after their FA-18 fighter jet crashed off the coast of Key West, Florida… https://t.co/jiZrteUw1W"
37,CNN,Thu Mar 15 08:58:04 +0000 2018,0.0,0.167,0.833,-0.4215,This eye roll resonated with millions -- and broke the internet in China https://t.co/WXBIMZ4Rbj https://t.co/hs3xPRtCMC
38,CNN,Thu Mar 15 08:41:08 +0000 2018,0.0,0.0,1.0,0.0,Here's 20 world-changing inventions from under 20s https://t.co/LXkd3ahJkl https://t.co/2jLakib8WM
39,CNN,Thu Mar 15 08:30:03 +0000 2018,0.0,0.253,0.747,-0.8316,"It is 7 years since the war in Syria began. But how exactly did it begin?

For many Syrians, the story of the war b… https://t.co/bqCmpWqMmp"
40,CNN,Thu Mar 15 08:21:02 +0000 2018,0.0,0.0,1.0,0.0,"7% of astronaut Scott Kelly's genes did not return to normal after his return to Earth two years ago, according to… https://t.co/XF6Vw3Yn31"
41,CNN,Thu Mar 15 08:10:06 +0000 2018,0.197,0.0,0.803,0.4019,Apple debuts a new page to help parents with screen-time concerns https://t.co/79G3rZXUPf https://t.co/K1apNevUGm
42,CNN,Thu Mar 15 08:01:00 +0000 2018,0.0,0.0,1.0,0.0,Stephen Hawking became a pop culture icon by explaining the mysteries of the universe to a mass audience -- while r… https://t.co/UDpK0UqEuz
43,CNN,Thu Mar 15 08:00:11 +0000 2018,0.104,0.287,0.609,-0.6369,"Assad may win Syria's war, but he will preside over a broken country | Analysis by Tim Lister… https://t.co/3RwVRhQRK4"
44,CNN,Thu Mar 15 07:48:03 +0000 2018,0.0,0.0,1.0,0.0,Is North Korea's silence on the Trump-Kim summit a worry?https://t.co/zTnR7FcGFG https://t.co/gUHivQ0lx5
45,CNN,Thu Mar 15 07:37:04 +0000 2018,0.0,0.0,1.0,0.0,"US troops were involved in a firefight in Niger in December, just months after a Green Beret-led team was ambushed… https://t.co/WWRzcbtBZN"
46,CNN,Thu Mar 15 07:31:00 +0000 2018,0.0,0.0,1.0,0.0,"""I don't wanna grow up, I'm a Toys 'R' Us kid.""

You won't be hearing this iconic jingle anymore. After 70 years in… https://t.co/swqdoL30e0"
47,CNN,Thu Mar 15 07:25:06 +0000 2018,0.149,0.117,0.733,0.1987,"For someone who talks so much about winning, President Donald Trump is racking up quite the losing streak | Analysi… https://t.co/TyHfAgzDiG"
48,CNN,Thu Mar 15 07:17:11 +0000 2018,0.15,0.0,0.85,0.5709,Longjing tea is a specialty in Hangzhou and considered one of the most prized tea leaves in China. The quality of t… https://t.co/bpCwDaW16s
49,CNN,Thu Mar 15 07:15:14 +0000 2018,0.0,0.336,0.664,-0.7964,The sister of Charleston church shooter Dylann Roof was arrested Wednesday on charges of bringing weapons and drugs… https://t.co/RzWazkFeNl
50,CNN,Thu Mar 15 07:14:12 +0000 2018,0.0,0.0,1.0,0.0,The Kennedy women were as politically savvy as the Kennedy men. See how they helped get JFK elected on #TheKennedys… https://t.co/OWsCWdCUwo
51,CNN,Thu Mar 15 07:11:05 +0000 2018,0.0,0.091,0.909,-0.2263,"The lawyer representing Stormy Daniels says that, on the heels of her lawsuit against Donald Trump, several other w… https://t.co/RTIJDUGYZJ"
52,CNN,Thu Mar 15 07:01:07 +0000 2018,0.169,0.096,0.734,0.3182,Student walkouts show compassion is a tool for change | By Patricia Jennings via @CNNOpinion https://t.co/UbYIh38FR9 https://t.co/KUBdsgrDbV
53,CNN,Thu Mar 15 07:00:24 +0000 2018,0.103,0.0,0.897,0.128,Stormy Daniels is crowdfunding her legal fees in suit against President Trump https://t.co/1NMdxLxNpb https://t.co/EoJUOrVQfd
54,CNN,Thu Mar 15 06:31:06 +0000 2018,0.0,0.0,1.0,0.0,"At Al Shaqab, a vast horseshoe-shaped complex on the outskirts of the Qatari capital Doha, horses experience a refi… https://t.co/dtEEVmf8bY"
55,CNN,Thu Mar 15 06:19:48 +0000 2018,0.0,0.0,1.0,0.0,"""I don't wanna grow up, I'm a Toys 'R' Us kid.""

You won't be hearing this iconic jingle anymore. After 70 years in… https://t.co/35rH08CtOH"
56,CNN,Thu Mar 15 06:01:05 +0000 2018,0.262,0.0,0.738,0.7506,"The growth of men's beauty and fashion products has been outpacing those of women's since 2010, a market research c… https://t.co/WMZ6JgzYME"
57,CNN,Thu Mar 15 05:46:07 +0000 2018,0.0,0.0,1.0,0.0,A Jewish woman heard an undocumented immigrant and her two daughters were on the run from ICE. Driven by thoughts o… https://t.co/k6ZK2w1FuN
58,CNN,Thu Mar 15 05:31:04 +0000 2018,0.197,0.0,0.803,0.4019,Apple debuts a new page to help parents with screen-time concerns https://t.co/FKZ4hEK3ob https://t.co/0IE85y42VM
59,CNN,Thu Mar 15 05:16:05 +0000 2018,0.0,0.0,1.0,0.0,"7% of astronaut Scott Kelly's genes did not return to normal after his return to Earth two years ago, according to… https://t.co/67dvrHZNzh"
60,CNN,Thu Mar 15 05:01:05 +0000 2018,0.341,0.0,0.659,0.6908,House intelligence Democrats outline how to keep their Russia investigation alive https://t.co/MtHluPq4Ck https://t.co/VFIqvO4yD8
61,CNN,Thu Mar 15 04:46:04 +0000 2018,0.0,0.0,1.0,0.0,The rise and fall of Theranos and Elizabeth Holmes https://t.co/pBzcUuFgiq https://t.co/tA97vxZ0uJ
62,CNN,Thu Mar 15 04:31:06 +0000 2018,0.158,0.0,0.842,0.4939,"Republican Sen. Marco Rubio has proposed the ""Sunshine Protection Act,"" which would make Daylight Saving Time perma… https://t.co/8V9vSh9vIo"
63,CNN,Thu Mar 15 04:26:34 +0000 2018,0.0,0.253,0.747,-0.8316,"It is 7 years since the war in Syria began. But how exactly did it begin?

For many Syrians, the story of the war b… https://t.co/NB9nWWqFCz"
64,CNN,Thu Mar 15 04:16:24 +0000 2018,0.0,0.0,1.0,0.0,This 16-year-old was the only one -- out of about 700 students at his North Carolina school -- who walked out of cl… https://t.co/7t2GJgyjUY
65,CNN,Thu Mar 15 04:13:44 +0000 2018,0.104,0.224,0.672,-0.4939,Plenty of American companies would be at risk in a trade war between the United States and China. But Boeing might… https://t.co/pbknx7xFuG
66,CNN,Thu Mar 15 04:01:39 +0000 2018,0.168,0.099,0.733,0.3832,These New York City elementary school students sang “Put a Little Love in Your Heart” during their walkout protest… https://t.co/k6cuY1buhp
67,CNN,Thu Mar 15 03:50:13 +0000 2018,0.147,0.216,0.637,-0.34,Florida teen held in killing was being investigated by FBI over possible ISIS interest https://t.co/2qtS0dycog
68,CNN,Thu Mar 15 03:45:08 +0000 2018,0.102,0.0,0.898,0.3818,"Find out who and what is making big waves in the worlds of tech, media and innovation. Sign up for PACIFIC, CNN’s n… https://t.co/hxOmzQjG1H"
69,CNN,Thu Mar 15 03:36:06 +0000 2018,0.0,0.138,0.862,-0.34,A pair of bipartisan lawmakers faulted the White House for a lackluster response to a letter requesting information… https://t.co/X5cbcFEInv
70,CNN,Thu Mar 15 03:31:03 +0000 2018,0.0,0.0,1.0,0.0,"Unable to obtain drugs to use for its lethal injections, Oklahoma will use inert gas inhalation as the primary meth… https://t.co/PmHB1Fb2qV"
71,CNN,Thu Mar 15 03:28:40 +0000 2018,0.119,0.0,0.881,0.4019,"RT @CNNTonight: Pennsylvania Republican Rep. Charlie Dent says the special U.S. House race was a ""clarion call"" to his colleagues. ""This el…"
72,CNN,Thu Mar 15 03:25:10 +0000 2018,0.0,0.152,0.848,-0.5267,The woman who wrote the #ToysRUs jingle says she's been saddened to hear the recent news about the company… https://t.co/rzhEd5E4Co
73,CNN,Thu Mar 15 03:16:01 +0000 2018,0.105,0.247,0.648,-0.5423,"A full-blown trade war would erase any economic benefits from the Republican tax cuts passed last year, according t… https://t.co/0gYdw8ECcK"
74,CNN,Thu Mar 15 03:15:38 +0000 2018,0.0,0.0,1.0,0.0,"""I was expecting at least one or two people to come outside with me.” This student was the only one of 700 at his N… https://t.co/ZFavM6bedi"
75,CNN,Thu Mar 15 03:07:33 +0000 2018,0.072,0.162,0.766,-0.4588,"Two Navy aviators have died after their FA-18 fighter jet crashed off the coast of Key West, Florida… https://t.co/ygQE3R5Xps"
76,CNN,Thu Mar 15 03:04:02 +0000 2018,0.0,0.0,1.0,0.0,"Democratic strategist Paul Begala says the ""Republicans are gonna need a bigger yacht"" after the results from the s… https://t.co/kkn9YhhSCM"
77,CNN,Thu Mar 15 03:02:59 +0000 2018,0.0,0.0,1.0,0.0,Here's 20 world-changing inventions from under 20s https://t.co/emdhM6QsXK https://t.co/X0aXJ4Q6lY
78,CNN,Thu Mar 15 03:01:06 +0000 2018,0.0,0.0,1.0,0.0,"""One light may have gone out. But the lights Stephen Hawking lit burn on,"" writes Don Lincoln via @CNNOpinion https://t.co/Y49su3ApGx"
79,CNN,Thu Mar 15 02:54:02 +0000 2018,0.0,0.124,0.876,-0.4019,"Michael Avenatti, Stormy Daniels' attorney: ""Oh, what a tangled web we weave when we practice to deceive. ... The s… https://t.co/Ez1pRihlml"
80,CNN,Thu Mar 15 02:53:08 +0000 2018,0.0,0.291,0.709,-0.8126,A Nobel Prize-winning professor's wife who was said to be suffering from Parkinson's disease was found dead at an I… https://t.co/cFR2x0vif3
81,CNN,Thu Mar 15 02:48:18 +0000 2018,0.097,0.0,0.903,0.2617,"Stoneman Douglas student David Hogg: ""I respect Donald Trump as the President but I think he needs to realize that… https://t.co/Pmy4zF0Bot"
82,CNN,Thu Mar 15 02:45:08 +0000 2018,0.0,0.0,1.0,0.0,Capitol Hill is scrambled once again by the White House's mixed messaging on immigration https://t.co/anPrF7l0pI https://t.co/kOOYlo44H6
83,CNN,Thu Mar 15 02:44:38 +0000 2018,0.094,0.0,0.906,0.2924,"""We are not trying to fight against the Second Amendment here. We're not trying to take your guns. We're trying to… https://t.co/nNkgQT4ex1"
84,CNN,Thu Mar 15 02:43:41 +0000 2018,0.0,0.07,0.93,-0.128,Stoneman Douglas High School student David Hogg says the waves of students who marched out of class to demand stric… https://t.co/iC5aZBUZZn
85,CNN,Thu Mar 15 02:39:53 +0000 2018,0.0,0.0,1.0,0.0,RT @AC360: Pennsylvania voters react to the tight congressional race that has left Republicans and Democrats asking what's next in Washingt…
86,CNN,Thu Mar 15 02:38:32 +0000 2018,0.0,0.333,0.667,-0.8176,"Paul Manafort has asked a federal judge in DC to dismiss the five criminal charges against him, arguing that specia… https://t.co/8gqbi8R9Xi"
87,CNN,Thu Mar 15 02:36:04 +0000 2018,0.144,0.0,0.856,0.4939,"Lawmakers gather to honor Democratic Rep. Marcy Kaptur, of Ohio's 9th District, as she's expected to shatter the re… https://t.co/t7AdxjrGYU"
88,CNN,Thu Mar 15 02:32:24 +0000 2018,0.15,0.0,0.85,0.5709,Longjing tea is a specialty in Hangzhou and considered one of the most prized tea leaves in China. The quality of t… https://t.co/IovO2qIiU4
89,CNN,Thu Mar 15 02:31:04 +0000 2018,0.136,0.111,0.754,0.128,Six ways Trump can help stop Russian meddling | By Fred Wertheimer and Norman Eisen via @CNNOpinion… https://t.co/2NvrfrgfdX
90,CNN,Thu Mar 15 02:23:06 +0000 2018,0.0,0.0,1.0,0.0,It's been a month since the Florida shootings. What's changed? | Analysis by @CillizzaCNN https://t.co/UktCKyTsam https://t.co/IuBDg08w6z
91,CNN,Thu Mar 15 02:17:26 +0000 2018,0.0,0.0,1.0,0.0,"These emails prove Ben and Candy Carson knew about the $31,000 dining set https://t.co/v7sjbRcofw https://t.co/xPok7VxoKw"
92,CNN,Thu Mar 15 02:16:05 +0000 2018,0.071,0.0,0.929,0.0772,Mississippi Republican state Sen. Chris McDaniel is dropping his primary challenge to Sen. Roger Wicker to instead… https://t.co/XjrHdY4zGU
93,CNN,Thu Mar 15 02:14:15 +0000 2018,0.0,0.231,0.769,-0.6249,An Ohio federal district court judge blocked legislation that would have banned abortion in cases where a fetus is… https://t.co/r0lN1gRW7c
94,CNN,Thu Mar 15 02:13:36 +0000 2018,0.0,0.101,0.899,-0.2263,"Two people were wounded in a shooting at the UAB Hospital-Highlands in Birmingham, Alabama, and the suspected gunma… https://t.co/hzxnyGqSJj"
95,CNN,Thu Mar 15 02:03:55 +0000 2018,0.109,0.227,0.664,-0.4588,"Sen. John Kennedy is calling out United Airlines, demanding an ""immediate explanation"" of the death of a dog on a f… https://t.co/6eiDEaE1As"
96,CNN,Thu Mar 15 02:01:03 +0000 2018,0.133,0.101,0.766,-0.0516,Having high stamina -- the time it takes for you to reach peak exhaustion during exercise -- compared with medium c… https://t.co/me6sslmO5X
97,CNN,Thu Mar 15 01:54:53 +0000 2018,0.091,0.0,0.909,0.296,"""For Republicans, it is time to get used to life after Hillary, and to the prospect of unlikely voters who aren't i… https://t.co/F4pwJdgpCW"
98,CNN,Thu Mar 15 01:53:06 +0000 2018,0.169,0.169,0.661,-0.2516,"Nearly a decade after the financial crisis, the Senate advanced the most significant changes yet to the 2010 Dodd-F… https://t.co/UnCXoeYBCI"
99,CNN,Thu Mar 15 01:47:07 +0000 2018,0.0,0.0,1.0,0.0,Nigerian President Muhammadu Buhari vowed that his government will never give up until the schoolgirls kidnapped by… https://t.co/v6Vga36a2O
100,CNN,Thu Mar 15 01:44:49 +0000 2018,0.132,0.0,0.868,0.4939,"On paper, Russian President Vladimir Putin is a man of modest wealth. In reality, he may be one of the world's rich… https://t.co/zieqPoDDYc"
1,FoxNews,Thu Mar 15 15:25:38 +0000 2018,0.0,0.0,1.0,0.0,".@HowardKurtz: ""I'm tempted to call these remarks 'deplorable' but that would be too easy."" https://t.co/q0T30yjgA1 https://t.co/Vkfc27i2oG"
2,FoxNews,Thu Mar 15 15:23:53 +0000 2018,0.157,0.108,0.735,0.25,"Austin package bombs probably 'pretty simple,' components could lead cops to suspect, experts say (via @travfed)  https://t.co/fhPr27aNyW"
3,FoxNews,Thu Mar 15 15:16:05 +0000 2018,0.388,0.0,0.612,0.8795,"""The relationship is outstanding and only getting better and it really is a very special group of people.""

MOMENTS… https://t.co/s8lywZDfij"
4,FoxNews,Thu Mar 15 15:14:00 +0000 2018,0.11,0.0,0.89,0.1531,".@DiamondandSilk: ""The hypocrisy on the left is so real - see, they want to take away your guns but they want to be… https://t.co/j0W4pYopoU"
