Tweets Ago,Account,Date,Positive,Neutral,Negative,Compound,Text
72,BBCWorld,Wed Mar 14 17:20:04 +0000 2018,0.0,0.0,1.0,0.0,TV pundit Lawrence Kudlow 'to be Trump economic adviser' https://t.co/fSJQG0A8Le
73,BBCWorld,Wed Mar 14 17:15:11 +0000 2018,0.0,0.51,0.49,-0.8074,"Bolivia police storm notorious jail, killing six inmates https://t.co/bqdQYrz2i5"
74,BBCWorld,Wed Mar 14 16:41:18 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCNews: A brief history of Stephen Hawking's life 🌟🚀🌌

https://t.co/SBXMktzvnJ https://t.co/QI6RFKFe5z"
75,BBCWorld,Wed Mar 14 16:20:57 +0000 2018,0.0,0.175,0.825,-0.1779,Florida shooting: Students across US stage mass walkouts https://t.co/Fgb0dAfFgw
76,BBCWorld,Wed Mar 14 16:14:57 +0000 2018,0.0,0.0,1.0,0.0,Australia considers visas for white South African farmers https://t.co/S8liON8Nlv
77,BBCWorld,Wed Mar 14 16:14:57 +0000 2018,0.0,0.0,1.0,0.0,Panama port city of Colón hit by rioting and looting https://t.co/7J4Y7qsmzP
78,BBCWorld,Wed Mar 14 16:14:50 +0000 2018,0.0,0.0,1.0,0.0,Nyepi celebrations: Mobile internet turned off for Bali's New Year https://t.co/Dn1yVrW1Ri
79,BBCWorld,Wed Mar 14 15:58:07 +0000 2018,0.0,0.0,1.0,0.0,Stephen Hawking: Tributes pour in for 'inspirational' physicist https://t.co/IqfKYcAdHM
80,BBCWorld,Wed Mar 14 15:01:24 +0000 2018,0.0,0.0,1.0,0.0,"Stephen Hawking quiz: The man, his life and his theories https://t.co/PGGzgQajbk"
81,BBCWorld,Wed Mar 14 14:45:21 +0000 2018,0.0,0.0,1.0,0.0,Pompeo replaces Tillerson. Where does that take US foreign policy? https://t.co/BWMA2JojZ0
82,BBCWorld,Wed Mar 14 14:45:21 +0000 2018,0.0,0.216,0.784,-0.296,The best-selling scientist who battled motor neurone disease https://t.co/y1AsLKRuQp
83,BBCWorld,Wed Mar 14 14:41:00 +0000 2018,0.0,0.0,1.0,0.0,Google bans crypto-currency adverts https://t.co/BWPKEqJ5ro
84,BBCWorld,Wed Mar 14 14:36:23 +0000 2018,0.145,0.0,0.855,0.1779,"Amazon recalls fire-risk power packs in UK, Europe and US https://t.co/RMt46hFMHs"
85,BBCWorld,Wed Mar 14 14:31:32 +0000 2018,0.0,0.266,0.734,-0.4404,Russian spy: UK to expel 23 Russian diplomats https://t.co/RAfVgKZwXW
86,BBCWorld,Wed Mar 14 13:54:50 +0000 2018,0.0,0.204,0.796,-0.3182,Florida shooting: US high school students plan mass walkout https://t.co/Crb1GaZPTD
87,BBCWorld,Wed Mar 14 13:35:07 +0000 2018,0.0,0.083,0.917,-0.2023,"RT @BBC_HaveYourSay: Empty chairs, black holes and #PiDay - some of the ways people are remembering Stephen Hawking. 

Find out more 👇
http…"
88,BBCWorld,Wed Mar 14 12:50:44 +0000 2018,0.0,0.222,0.778,-0.7184,"RT @BBCBreaking: UK to expel 23 Russian diplomats, PM Theresa May says, after nerve agent attack on former double agent in Salisbury

https…"
89,BBCWorld,Wed Mar 14 12:38:12 +0000 2018,0.0,0.189,0.811,-0.2732,Caribbean volcano Kick 'em Jenny: Ships warned off area https://t.co/AqqhDQQmqN
90,BBCWorld,Wed Mar 14 11:57:53 +0000 2018,0.0,0.398,0.602,-0.6486,Mauritius President Gurib-Fakim refuses to resign over expense scandal https://t.co/q8J4Pm3pFc
91,BBCWorld,Wed Mar 14 11:27:44 +0000 2018,0.0,0.0,1.0,0.0,Angela Merkel sworn in for fourth term as German chancellor https://t.co/pslAir2yKS
92,BBCWorld,Wed Mar 14 10:40:24 +0000 2018,0.0,0.0,1.0,0.0,Stephen Hawking: Scientist in the public eye https://t.co/T9CTLuWXWm
93,BBCWorld,Wed Mar 14 10:28:37 +0000 2018,0.0,0.0,1.0,0.0,Sierra Leone election: Julius Maada Bio beats Samura Kamara in first round https://t.co/x0k10ukyst
94,BBCWorld,Wed Mar 14 10:28:37 +0000 2018,0.0,0.415,0.585,-0.7964,Italy bomb: World War Two device forces mass evacuation in Fano https://t.co/jR0j5MsiJB
95,BBCWorld,Wed Mar 14 08:49:33 +0000 2018,0.0,0.269,0.731,-0.7906,"RT @BBCSteveR: As Moscow rejects Britain's ultimatum over the Skripal poisoning, one Russian paper today says this on UK-Russian ties: ""The…"
